2020-07-03 09:15:02.835 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-07-03 15:22:27.389 [http-nio-8082-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-07-03 15:22:27.396 [http-nio-8082-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 7 ms
2020-07-03 15:37:34.841 [http-nio-8082-exec-8] INFO  com.xinlei.controller.ZoneController - 测试呢啊哈哈哈哈哈哈
2020-07-03 17:25:18.722 [main] INFO  com.xinlei.MybatisPlusApplication - Starting MybatisPlusApplication on DESKTOP-EQ8JBUC with PID 20660 (F:\test\mybatis-plus\target\classes started by dell in F:\test\mybatis-plus)
2020-07-03 17:25:18.771 [main] INFO  com.xinlei.MybatisPlusApplication - No active profile set, falling back to default profiles: default
2020-07-03 17:25:22.418 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2020-07-03 17:25:22.429 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2020-07-03 17:25:22.430 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-03 17:25:22.430 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-07-03 17:25:22.552 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-07-03 17:25:22.553 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3649 ms
2020-07-03 17:25:24.792 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2020-07-03 17:25:24.795 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2020-07-03 17:25:24.892 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-07-03 17:34:34.970 [main] INFO  com.xinlei.MybatisPlusApplication - Starting MybatisPlusApplication on DESKTOP-EQ8JBUC with PID 19784 (F:\test\mybatis-plus\target\classes started by dell in F:\test\mybatis-plus)
2020-07-03 17:34:34.990 [main] INFO  com.xinlei.MybatisPlusApplication - No active profile set, falling back to default profiles: default
2020-07-03 17:34:42.436 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2020-07-03 17:34:42.449 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2020-07-03 17:34:42.450 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-03 17:34:42.450 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-07-03 17:34:42.758 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-07-03 17:34:42.758 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 7677 ms
2020-07-03 17:34:45.657 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2020-07-03 17:34:45.704 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2020-07-03 17:34:45.941 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-07-03 17:36:14.823 [main] INFO  com.xinlei.MybatisPlusApplication - Starting MybatisPlusApplication on DESKTOP-EQ8JBUC with PID 3352 (F:\test\mybatis-plus\target\classes started by dell in F:\test\mybatis-plus)
2020-07-03 17:36:15.050 [main] INFO  com.xinlei.MybatisPlusApplication - No active profile set, falling back to default profiles: default
2020-07-03 17:36:19.703 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2020-07-03 17:36:19.714 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2020-07-03 17:36:19.715 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-03 17:36:19.715 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-07-03 17:36:19.880 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-07-03 17:36:19.880 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4638 ms
2020-07-03 17:36:21.927 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2020-07-03 17:36:21.931 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2020-07-03 17:36:22.016 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-07-03 17:38:13.049 [main] INFO  com.xinlei.MybatisPlusApplication - Starting MybatisPlusApplication on DESKTOP-EQ8JBUC with PID 10564 (F:\test\mybatis-plus\target\classes started by dell in F:\test\mybatis-plus)
2020-07-03 17:38:13.081 [main] INFO  com.xinlei.MybatisPlusApplication - No active profile set, falling back to default profiles: default
2020-07-03 17:38:17.003 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2020-07-03 17:38:17.024 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2020-07-03 17:38:17.025 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-03 17:38:17.025 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-07-03 17:38:17.249 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-07-03 17:38:17.249 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3892 ms
2020-07-03 17:38:20.418 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2020-07-03 17:38:20.421 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2020-07-03 17:38:20.509 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-07-03 17:48:47.440 [main] INFO  com.xinlei.MybatisPlusApplication - Starting MybatisPlusApplication on DESKTOP-EQ8JBUC with PID 19576 (F:\test\mybatis-plus\target\classes started by dell in F:\test\mybatis-plus)
2020-07-03 17:48:47.467 [main] INFO  com.xinlei.MybatisPlusApplication - No active profile set, falling back to default profiles: default
2020-07-03 17:48:55.046 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2020-07-03 17:48:55.067 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2020-07-03 17:48:55.068 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-03 17:48:55.069 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-07-03 17:48:55.271 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-07-03 17:48:55.272 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 7653 ms
2020-07-03 17:48:57.820 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2f054f70, org.springframework.security.web.context.SecurityContextPersistenceFilter@96897c8, org.springframework.security.web.header.HeaderWriterFilter@383cb5ce, org.springframework.security.web.authentication.logout.LogoutFilter@2dfeb141, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@2a8f6e6, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7f97bc14, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@261de205, org.springframework.security.web.authentication.rememberme.RememberMeAuthenticationFilter@1ac730cd, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6467ddc7, org.springframework.security.web.session.SessionManagementFilter@798deee8, org.springframework.security.web.access.ExceptionTranslationFilter@4b97b3d2, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@52b959df]
2020-07-03 17:48:58.162 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-03 17:48:58.640 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
2020-07-03 17:48:58.682 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
2020-07-03 17:48:58.694 [main] INFO  com.xinlei.MybatisPlusApplication - Started MybatisPlusApplication in 14.868 seconds (JVM running for 25.147)
2020-07-03 17:49:10.061 [http-nio-8082-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-07-03 17:49:10.062 [http-nio-8082-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-07-03 17:49:10.069 [http-nio-8082-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 7 ms
2020-07-03 17:51:45.711 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-07-03 17:51:45.712 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2020-07-03 17:51:59.398 [main] INFO  com.xinlei.MybatisPlusApplication - Starting MybatisPlusApplication on DESKTOP-EQ8JBUC with PID 16012 (F:\test\mybatis-plus\target\classes started by dell in F:\test\mybatis-plus)
2020-07-03 17:51:59.402 [main] INFO  com.xinlei.MybatisPlusApplication - No active profile set, falling back to default profiles: default
2020-07-03 17:52:03.454 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2020-07-03 17:52:03.490 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2020-07-03 17:52:03.491 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-03 17:52:03.491 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-07-03 17:52:03.948 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-07-03 17:52:03.949 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4467 ms
2020-07-03 17:52:06.634 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@71664560, org.springframework.security.web.context.SecurityContextPersistenceFilter@6af5b246, org.springframework.security.web.header.HeaderWriterFilter@ea7a4c3, org.springframework.security.web.authentication.logout.LogoutFilter@365afe87, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@108e9837, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@31723307, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2d7637e6, org.springframework.security.web.authentication.rememberme.RememberMeAuthenticationFilter@79a201cf, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4d4436d0, org.springframework.security.web.session.SessionManagementFilter@7d42404e, org.springframework.security.web.access.ExceptionTranslationFilter@2e1eb85f, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4ef4f627]
2020-07-03 17:52:06.782 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-03 17:52:07.166 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
2020-07-03 17:52:07.217 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
2020-07-03 17:52:07.260 [main] INFO  com.xinlei.MybatisPlusApplication - Started MybatisPlusApplication in 9.99 seconds (JVM running for 14.227)
2020-07-03 17:52:33.425 [http-nio-8082-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-07-03 17:52:33.425 [http-nio-8082-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-07-03 17:52:33.433 [http-nio-8082-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 8 ms
2020-07-03 18:03:53.160 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-07-03 18:03:53.160 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2020-07-03 18:04:28.878 [main] INFO  com.xinlei.MybatisPlusApplication - Starting MybatisPlusApplication on DESKTOP-EQ8JBUC with PID 15824 (F:\test\mybatis-plus\target\classes started by dell in F:\test\mybatis-plus)
2020-07-03 18:04:28.881 [main] INFO  com.xinlei.MybatisPlusApplication - No active profile set, falling back to default profiles: default
2020-07-03 18:04:33.954 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2020-07-03 18:04:33.980 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2020-07-03 18:04:33.981 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-03 18:04:33.981 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-07-03 18:04:34.201 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-07-03 18:04:34.201 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4596 ms
2020-07-03 18:04:35.831 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@bc09d57, org.springframework.security.web.context.SecurityContextPersistenceFilter@f613067, org.springframework.security.web.header.HeaderWriterFilter@4dfdfe7d, org.springframework.security.web.authentication.logout.LogoutFilter@6a950a3b, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@498c535d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@c1e14f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2c30c81d, org.springframework.security.web.authentication.rememberme.RememberMeAuthenticationFilter@16ee9aa7, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6d963d70, org.springframework.security.web.session.SessionManagementFilter@1578b8ec, org.springframework.security.web.access.ExceptionTranslationFilter@1e1237ab, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@59d0cdb6]
2020-07-03 18:04:35.969 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-03 18:04:36.231 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
2020-07-03 18:04:36.279 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
2020-07-03 18:04:36.290 [main] INFO  com.xinlei.MybatisPlusApplication - Started MybatisPlusApplication in 8.703 seconds (JVM running for 11.125)
2020-07-03 18:04:54.155 [http-nio-8082-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-07-03 18:04:54.155 [http-nio-8082-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-07-03 18:04:54.167 [http-nio-8082-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 12 ms
2020-07-03 18:16:17.524 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-07-03 18:16:17.524 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2020-07-03 18:16:40.879 [main] INFO  com.xinlei.MybatisPlusApplication - Starting MybatisPlusApplication on DESKTOP-EQ8JBUC with PID 18440 (F:\test\mybatis-plus\target\classes started by dell in F:\test\mybatis-plus)
2020-07-03 18:16:40.882 [main] INFO  com.xinlei.MybatisPlusApplication - No active profile set, falling back to default profiles: default
2020-07-03 18:16:43.761 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2020-07-03 18:16:43.774 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2020-07-03 18:16:43.775 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-03 18:16:43.775 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-07-03 18:16:43.974 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-07-03 18:16:43.975 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2959 ms
2020-07-03 18:16:45.110 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@62ade015, org.springframework.security.web.context.SecurityContextPersistenceFilter@7f3fc42f, org.springframework.security.web.header.HeaderWriterFilter@79ba0a6f, org.springframework.security.web.authentication.logout.LogoutFilter@55736cfe, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@6cbb175, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@5d352de0, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@70ede57d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@25a1a012, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@b950f82, org.springframework.security.web.authentication.rememberme.RememberMeAuthenticationFilter@38fb50f8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@70997a94, org.springframework.security.web.session.SessionManagementFilter@261de205, org.springframework.security.web.access.ExceptionTranslationFilter@267f9765, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@27b337bb]
2020-07-03 18:16:45.241 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-03 18:16:45.477 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
2020-07-03 18:16:45.545 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
2020-07-03 18:16:45.556 [main] INFO  com.xinlei.MybatisPlusApplication - Started MybatisPlusApplication in 6.159 seconds (JVM running for 8.12)
2020-07-03 18:17:21.150 [http-nio-8082-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-07-03 18:17:21.150 [http-nio-8082-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-07-03 18:17:21.162 [http-nio-8082-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 12 ms
2020-07-03 18:17:49.267 [http-nio-8082-exec-3] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-07-03 18:21:51.490 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-07-03 18:21:51.491 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2020-07-03 18:21:51.540 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-07-03 18:22:07.215 [main] INFO  com.xinlei.MybatisPlusApplication - Starting MybatisPlusApplication on DESKTOP-EQ8JBUC with PID 2784 (F:\test\mybatis-plus\target\classes started by dell in F:\test\mybatis-plus)
2020-07-03 18:22:07.273 [main] INFO  com.xinlei.MybatisPlusApplication - No active profile set, falling back to default profiles: default
2020-07-03 18:22:12.373 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
2020-07-03 18:22:12.765 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2020-07-03 18:22:12.766 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-03 18:22:12.766 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-07-03 18:22:14.840 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-07-03 18:22:14.840 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 7252 ms
2020-07-03 18:22:16.762 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@43245559, org.springframework.security.web.context.SecurityContextPersistenceFilter@6c977dcf, org.springframework.security.web.header.HeaderWriterFilter@16d07cf3, org.springframework.security.web.authentication.logout.LogoutFilter@3f9b7fe1, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@4cc01c7f, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@2233cac0, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@42e4e589, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@661d6bb6, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3b481bf5, org.springframework.security.web.authentication.rememberme.RememberMeAuthenticationFilter@2a50b32d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@499ee966, org.springframework.security.web.session.SessionManagementFilter@16f0ec18, org.springframework.security.web.access.ExceptionTranslationFilter@525b1b70, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@52f6900a]
2020-07-03 18:22:16.878 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-03 18:22:17.108 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
2020-07-03 18:22:17.228 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
2020-07-03 18:22:17.241 [main] INFO  com.xinlei.MybatisPlusApplication - Started MybatisPlusApplication in 11.806 seconds (JVM running for 13.345)
2020-07-03 18:22:37.003 [http-nio-8082-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-07-03 18:22:37.003 [http-nio-8082-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
